,WK_CODE,Country,Time,2017,2018,2019
266,WK168017,Wijk 17 Gieten,biggest party,0.25575,0.25575,0.25575
267,WK168017,Wijk 17 Gieten,biggest party name,1.0,1.0,1.0
276,WK168018,Wijk 18 Gieterveen,act ind per,0.354489,0.354489,0.354489
277,WK168018,Wijk 18 Gieterveen,act ega per,0.19195,0.19195,0.19195
278,WK168018,Wijk 18 Gieterveen,act col per,0.21362199999999998,0.21362199999999998,0.21362199999999998
279,WK168018,Wijk 18 Gieterveen,act fat per,0.171827,0.171827,0.171827
282,WK168018,Wijk 18 Gieterveen,biggest party,0.21207399999999998,0.21207399999999998,0.21207399999999998
283,WK168018,Wijk 18 Gieterveen,biggest party name,1.0,1.0,1.0
292,WK168019,Wijk 19 Rolde,act ind per,0.402787,0.402787,0.402787
293,WK168019,Wijk 19 Rolde,act ega per,0.256175,0.256175,0.256175
294,WK168019,Wijk 19 Rolde,act col per,0.205193,0.205193,0.205193
295,WK168019,Wijk 19 Rolde,act fat per,0.091197,0.091197,0.091197
298,WK168019,Wijk 19 Rolde,biggest party,0.275807,0.275807,0.275807
299,WK168019,Wijk 19 Rolde,biggest party name,1.0,1.0,1.0
308,WK168020,Wijk 20 Grolloo,act ind per,0.466916,0.466916,0.466916
309,WK168020,Wijk 20 Grolloo,act ega per,0.23720300000000002,0.23720300000000002,0.23720300000000002
310,WK168020,Wijk 20 Grolloo,act col per,0.153558,0.153558,0.153558
311,WK168020,Wijk 20 Grolloo,act fat per,0.11111099999999999,0.11111099999999999,0.11111099999999999
314,WK168020,Wijk 20 Grolloo,biggest party,0.370787,0.370787,0.370787
315,WK168020,Wijk 20 Grolloo,biggest party name,1.0,1.0,1.0
324,WK168021,Wijk 21 Ekehaar,act ind per,0.49489799999999995,0.49489799999999995,0.49489799999999995
325,WK168021,Wijk 21 Ekehaar,act ega per,0.252551,0.252551,0.252551
326,WK168021,Wijk 21 Ekehaar,act col per,0.14540799999999998,0.14540799999999998,0.14540799999999998
